Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
30/04/2006,"Biomass based independent power project at Malwa Power Private Limited, Mukatsar, Punjab",India,Switzerland/ Netherlands/ Germany/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,43854,0331
30/04/2006,"Babanpur, Killa and Sahoke Mini Hydroelectric Projects",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,21292,0329
01/05/2006,"Ajbapur Sugar Complex Cogeneration Project",India,Austria/ Sweden/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,40392,0332
05/05/2006,"6.5 MW biomass based (rice husk) power generation by M/s Indian Acrylics Ltd. and replacement of electrical power being imported from state electricity grid/ surplus power supply to grid.",India,Netherlands/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 8,20467,0341
05/05/2006,"LHSF Bagasse Project",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,18506,0334
05/05/2006,"Pandurang SSK RE Project",India,Switzerland/ Sweden/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,42446,0313
08/05/2006,"Chambal Power Limited’s (CPL) proposed 7.5 MW biomass based power project at Rangpur,  Kota District, Rajasthan, India  ",India,Switzerland/ Australia/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,50327,0347
11/05/2006,"Santa Ana Hydroelectric Plant",Colombia,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,20642,0275
12/05/2006,"BK Energia Itacoatiara Project",Brazil,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6/ AMS-III.E. ver. 6,145370,0168
12/05/2006,"TSIL – Waste Heat Recovery Based Power Project",India,United Kingdom of Great Britain and Northern Ireland,ACM0004 ver. 1,31762,0274
12/05/2006,"Bundled wind power project in Chitradurga (Karnataka in India) managed by Enercon (India) Ltd.",India,Netherlands,ACM0002 ver. 4,42221,0276
15/05/2006,"Vajra and Chaskaman small hydro projects of Vindhyachal Hydro Power Ltd., Maharashtra, India.",India,Switzerland/ Sweden/ Netherlands/ Germany,AMS-I.D. ver. 7,19132,0273
15/05/2006,"Landfill Gas to Energy Project at Lara Landfill, Mauá, Brazil",Brazil,Switzerland/ Netherlands,AM0003 ver. 3,751148,0091
15/05/2006,"Waste Heat Recovery Power Project at JK Cement Works (Unit of JK Cement Limited), Nimbahera, Chittorgarh, Rajasthan",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0004,70796,0284
15/05/2006,"Electric Power Co-Generation by LDG Recovery – CST - Brasil",Brazil,Germany,ACM0004,44026,0184
18/05/2006,"Partial replacement of fossil fuel by biomass as an alternative fuel, for Pyro-Processing in cement plant of Shree Cements Limited at Beawar in Rajasthan, India",India,,ACM0003 ver. 2,107074,0302
18/05/2006,"Composting of Organic Waste in Dhaka",Bangladesh,Sweden,AM0025,89259,0169
21/05/2006,"Anding Landfill Gas Recovery and Utilisation Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 2,75557,0296
21/05/2006,"ACC Blended cement projects at New Wadi Plant, Tikaria Cement Plant, Chanda Cement Works, Kymore Cement Works,  Lakheri Cement Works and Chaibasa Cement Works  ",India,United Kingdom of Great Britain and Northern Ireland,ACM0005 ver. 2,405314,0287
21/05/2006,"Sri Balaji 6 MW Non-Conventional Renewable Sources Biomass Power Project",India,Switzerland/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,28590,0362
25/05/2006,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",India,Norway/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 4,35775,0312
25/05/2006,"AWMS GHG Mitigation Project, MX05-B-15, Sonora, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,61486,0324
25/05/2006,"AWMS GHG Mitigation Project BR05-B-07, Mato Grosso, Minas Gerais and Goiás, Brazil.",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,149915,0337
25/05/2006,"Ningxia Helanshan Wind-farm Project, Ningxia Autonomous Region, China",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 4,172500,0316
25/05/2006,"LaGeo, S. A. de C. V., Berlin Geothermal Project, Phase Two",El Salvador,Netherlands,ACM0002 ver. 4,176543,0297
26/05/2006,"Optimal Utilization of Clinker in PPC manufacturing at Birla Corporation Limited, Raebareli Unit",India,France/ United Kingdom of Great Britain and Northern Ireland,ACM0005 ver. 2,26415,0314
28/05/2006,"Landfill gas recovery at the Norte III Landfill, Buenos Aires, Argentina.",Argentina,Switzerland/ Italy,AM0011 ver. 2,296807,0260
29/05/2006,"Emission reduction through partial substitution of fossil fuel with alternative fuels like agricultural by-products, tyres and municipal solid waste (MSW) in the manufacturing of portland cement at Grasim Industries Limited-Cement division South (GIL-CDS), Tamilnadu, India.",India,Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0003,51932,0339
29/05/2006,"Process Waste Heat utilization for power generation at Phillips Carbon Black Limited, Gujarat",India,Switzerland/ Sweden/ Netherlands,ACM0004,45721,0309
29/05/2006,"Lihir Geothermal Power Project",Papua New Guinea,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 4,278904,0279
29/05/2006,"Bundled Wind power project in Jaisalmer (Rajasthan in India) managed by Enercon (India) Ltd.",India,Netherlands,ACM0002 ver. 4,98225,0310
02/06/2006,"Reduction in steam consumption in stripper reboilers through process modifications",India,France,AM0018,34807,0340
02/06/2006,"Youngduk Wind Park Project",Republic of Korea,Australia/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 4,60071,0290
02/06/2006,"Nueva Aldea Biomass Power Plant Phase 2",Chile,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0006 ver. 2,125424,0346
04/06/2006,"Russfin Biomass CHP Plant Project.",Chile,Switzerland,AMS-I.C. ver. 7/ AMS-III.E. ver. 7,37405,0379
04/06/2006,"Taraila Small Hydroelectric Project of Ginni Global Ltd.",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 8,25190,0376
04/06/2006,"Off gases utilisation from C – 03 washing tower in Primary Reformer as fuel",India,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 8,7226,0382
04/06/2006,"KMS Power 6 MW Renewable Sources Biomass Power Project.",India,Sweden/ Netherlands/ Germany,AMS-I.D. ver. 7,16266,0374
04/06/2006,"Project for GHG Emission Reduction by Thermal Oxidation of HFC23 in Jiangsu Meilan Chemical CO. Ltd., Jiangsu Province, China",China,Canada/ Netherlands/ Italy/ Denmark/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Switzerland/ Japan/ Norway/ Spain,AM0001 ver. 3,8411432,0011
05/06/2006,"8.5 MW Biomass based Power Project",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,46098,0369
06/06/2006,"Trupan Biomass Power Plant in Chile ",Chile,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0006,101846,0259
10/06/2006,"LDEO Biomass Steam and Power Plant in Malaysia",Malaysia,Canada/ Switzerland/ Germany/ Denmark,AMS-I.C. ver. 7/ AMS-III.E. ver. 7,208871,0395
10/06/2006,"Indur 7.5 MW Non-Conventional Renewable Sources Biomass Power Project ",India,France/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,35116,0391
10/06/2006,"SEO Biomass Steam and Power Plant in Malaysia",Malaysia,Canada/ Denmark/ Germany,AMS-I.C. ver. 7/ AMS-III.E. ver. 7,216831,0402
14/06/2006,"Quimobásicos HFC Recovery and Decomposition Project",Mexico,Switzerland/ Japan/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0001 ver. 3,2155363,0151
15/06/2006,"Biomass Power Project at Kalpataru Energy Venture Private Limited, Bayana Tehsil, Bharatpur District, Rajasthan",India,,AMS-I.D. ver. 7,44882,0375
16/06/2006,"Perpetual 7.5 MW Non-Conventional Renewable Sources Biomass Power Project",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,20332,0390
17/06/2006,"MSS Biomass 9.7 MWe Condensing Steam Turbine Project",Indonesia,,AMS-I.D. ver. 7,56116,0406
18/06/2006,"AWMS GHG Mitigation Project BR05-B-02, Minas Gerais and São Paulo, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,152162,0364
18/06/2006,"Optimum utilisation of clinker by PPC production at Binani Cement Limited, Rajasthan",India,Germany,ACM0005 ver. 2,21961,0361
18/06/2006,"AWMS GHG Mitigation Project BR05-B-09, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,49388,0365
18/06/2006,"Sihwa Tidal Power Plant CDM Project",Republic of Korea,Switzerland,ACM0002 ver. 4,315440,0349
19/06/2006,"Power generation from waste heat of non-recovery type coke ovens at JSPL",India,,ACM0004,387643,0351
Rejected,"2x5 Radhanagari Hydro Electric Project",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,21173,0400
22/06/2006,"Monte Rosa Bagasse Cogeneration Project (MRBCP)",Nicaragua,Brazil/ Japan/ Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0015,56020,0191
24/06/2006,"Taishan Cement Works Waste Heat Recovery and Utilisation for Power Generation Project",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0024,105894,0366
26/06/2006,"Song Muc Hydro Power Station Regeneration Project in Vietnam",Viet Nam,Japan,AMS-I.D. ver. 8,4306,0435
30/06/2006,"3 MW Poultry Litter Based Power Generation Project, Hyderabad",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,65794,0399
02/07/2006,"São João Landfill Gas to Energy Project (SJ)",Brazil,Switzerland/ Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 18,816940,0373
02/07/2006,"Fuel oil to natural gas switching at Klabin Piracicaba boilers",Brazil,Switzerland/ Germany,AM0008,14237,0429
03/07/2006,"8MW Waste Heat Recovery based Captive Power Project at OCL",India,Switzerland,ACM0004,32498,0367
07/07/2006,"Irani Biomass Electricity Generation Project",Brazil,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,173486,0404
08/07/2006,"AWMS GHG Mitigation Project BR05-B-06, Bahía, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,13835,0409
09/07/2006,"AWMS GHG Mitigation Project BR05-B-14, Espírito Santo, Minas Gerais and São Paulo, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,55493,0420
09/07/2006,"AWMS GHG Mitigation Project BR05-B-10, Minas Gerais, Goias, Mato Grosso, and Mato Grosso do Sul - Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,90163,0417
09/07/2006,"AWMS GHG Mitigation Project BR05-B-15, Paraná, Santa Catarina, and Rio Grande do Sul, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,47586,0421
09/07/2006,"AWMS GHG Mitigation Project BR05-B-04, Paraná, Santa Catarina, and Rio Grande do Sul, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,90576,0411
09/07/2006,"AWMS GHG Mitigation Project BR05-B-11, Mato Grosso, Minas Gerais and São Paulo, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,67825,0418
09/07/2006,"AWMS GHG Mitigation Project BR05-B-13, Goiás and Minas Gerais, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,124218,0419
09/07/2006,"AWMS GHG Mitigation Project, MX06-B-18, Sinaloa, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,26499,0413
09/07/2006,"AWMS GHG Mitigation Project BR05-B-05, Minas Gerais and São Paulo, Brazil",Brazil,Switzerland,AM0016 ver. 2,75458,0412
10/07/2006,"Waste heat recovery based captive power project at Monnet ",India,United Kingdom of Great Britain and Northern Ireland,ACM0004,118383,0394
13/07/2006,"Ningxia Tianjing Shenzhou 30.6MW Wind-farm Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 5,49888,0398
14/07/2006,"El Gallo Hydroelectric Project.",Mexico,France,AM0005,65704,0393
15/07/2006,"AWMS GHG Mitigation Project BR05-B-16, Bahia, Goiás, Mato Grosso, Minas Gerais, Rio de Janeiro and São Paulo, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,87922,0422
15/07/2006,"Aguascalientes – EcoMethane Landfill Gas to Energy Project",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 2/ AMS-I.D. ver. 8,162593,0425
Rejected,"Cosipar Renewable Electricity Generation Project.",Brazil,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 8,16928,0410
17/07/2006,"González Catán and Ensenada Landfill Gas Project.",Argentina,Canada/ Switzerland/ France/ United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 2,769810,0426
17/07/2006,"JBSL–Waste Heat Recovery Based Captive Power Project",India,Norway,ACM0004 ver. 2,46387,0433
17/07/2006,"VGL - Waste Heat based 4 MW Captive Power Project at Raipur",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0004 ver. 2,18965,0432
21/07/2006,"Kina Biopower 11.5MW EFB Power Plant ",Malaysia,Japan,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,230019,0385
21/07/2006,"Seguntor Bioenergy 11.5MW EFB Power Plant ",Malaysia,Japan,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,230019,0386
21/07/2006,"4.5 MW Biomass (Agricultural Residue) Based Power Generation Unit of M/s Matrix Power Pvt. Ltd. (MPPL)",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,21621,0281
21/07/2006,"4.5 MW Biomass (low density Crop Residues) based Power Generation unit of Malavalli Power Plant Pvt Ltd.",India,Switzerland,AMS-I.D. ver. 7,20691,0298
21/07/2006,"Manal, Chandni and Timbi Small Hydroelectric Projects of HCPL",India,Germany,AMS-I.D. ver. 7,39260,0330
27/07/2006,"Fujian Zhangpu Liuao 30.6 MW Wind Power Project",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 5,51757,0388
28/07/2006,"A retrofit programme for decentralised heating stations in Mongolia.",Mongolia,,AMS-II.B. ver. 7,11904,0295
28/07/2006,"Switching of fuel from Naphtha to Natural gas at United Phosphorus Limited (UPL)",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0008,55783,0437
Rejected,"CAPEX S.A. – AGUA DEL CAJÓN THERMAL POWER PLANT – OPEN TO COMBINED CYCLE CONVERSION",Argentina,,ACM0007 ver. 1,378446,0443
28/07/2006,"Optimum utilisation of clinker by production of Pozzolana Cement at UltraTech Cement Ltd. (UTCL), Andhra Pradesh",India,United Kingdom of Great Britain and Northern Ireland,ACM0005 ver. 2,41838,0438
08/08/2006,"Project for HFC23 Decomposition at Changshu 3F Zhonghao New Chemical Materials Co. Ltd, Changshu, Jiangsu Province, China ",China,Canada/ Netherlands/ Italy/ Denmark/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Switzerland/ Japan/ Norway/ Spain,AM0001 ver. 3,10437249,0306
08/08/2006,"Guangdong Nan’ao Huaneng 45.05MW Wind Power Project",China,Spain,ACM0002 ver. 6,82428,0299
08/08/2006,"Bagasse Based cogeneration power project of Rana Sugars Limited, Amritsar District, Punjab;",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 8,24539,0355
09/08/2006,"Jilin Taobei Huaneng 49.3MW Wind Power Project",China,Spain,ACM0002 ver. 6,94098,0238
10/08/2006,"Angkor Bio Cogen Rice Husk Power Project ",Cambodia,Japan/ Sweden,AMS-I.A. ver. 7/ AMS-III.E. ver. 7/ AMS-I.D. ver. 18,51620,0363
11/08/2006,"Xiaogushan Hydropower Project in People's Republic of China",China,Canada/ Netherlands/ Finland/ France/ Sweden/ Germany/ Japan/ Norway,ACM0002 ver. 5,312891,0378
12/08/2006,"Jilin Tongyu Huaneng 100.5MW Wind Power Project",China,Spain,ACM0002 ver. 5,253287,0256
13/08/2006,"Switching of fossil fuel from Naptha & Diesel to Biomass (agricultural residue) for 9 MW Power Generation Unit of M/s. My Home Power limited (MHPL) and Supply to APTRANSCO Grid.",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 8,42381,0476
14/08/2006,"Generation of electricity from 2.5 MW capacity wind mills by Gujarat JHM Hotels Pvt. Ltd at Soda Mada Rajasthan",India,Germany,AMS-I.D. ver. 8,3453,0481
19/08/2006,"Demand side energy conservation & reduction measures at IPCL – Gandhar Complex",India,,AMS-II.D. ver. 7,10572,0445
19/08/2006,"A joint venture project of cogeneration of electricity and hot water using natural gas and biogas produced from on-site wastewater biodigesters ",Mexico,,AMS-I.C. ver. 8,3619,0478
21/08/2006,"1 MW Donghae PV(photovoltaic) Power Plant ",Republic of Korea,Japan,AMS-I.D. ver. 8,565,0497
22/08/2006,"Solar steam for cooking and other applications",India,Germany,AMS-I.C. ver. 7,562,0414
24/08/2006,"Bagasse based power project at Jamkhandi Sugars Limited, Bagalkot, Karnataka ",India,Switzerland,AMS-I.D. ver. 8,14720,0282
27/08/2006,"“Blended cement with increased blend” at Orient cement’s Devapur and Jalgaon plants in  India",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0005 ver. 2,83208,0456
28/08/2006,"Cucaú Bagasse Cogeneration Project (CBCP)",Brazil,Switzerland,AMS-I.D. ver. 8,2082,0485
28/08/2006,"Palestina Small Hydroelectric Power Plant - Brascan Energética Minas Gerais S.A. (BEMG) Project Activity",Brazil,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 8,27357,0477
28/08/2006,"Horizonte Wind Power Generation Project",Brazil,Switzerland,AMS-I.D. ver. 8,6227,0486
29/08/2006,"Ganpati co-generation project at Medak, Andhra Pradesh",India,Switzerland/ Australia/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,48552,0370
29/08/2006,"AWMS GHG Mitigation Project BR05-B-01, Minas Gerais, Brazil",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,55771,0335
31/08/2006,"MNA Biomass 9.7 MWe Condensing Steam Turbine Project",Indonesia,,AMS-I.D. ver. 7,46322,0407
31/08/2006,"Inácio Martins Biomass Project",Brazil,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,293858,0403
31/08/2006,"Waste heat recovery project based on technology up-gradation at Apollo Tyres, Vadodara, India",India,United Kingdom of Great Britain and Northern Ireland,AMS-II.D. ver. 7,23429,0389
31/08/2006,"Methane Capture and Combustion from Swine Manure Treatment Project at PT Indotirta Suaka Bulan Farm in Indonesia",Indonesia,Japan,AM0006,166000,0450
